id,filename,title,artist,year,museum,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories,license
24,aic_24.jpg,Portrait of Edouard Molé,Robert Nanteuil,1653.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/5df51c9d-dac5-d962-4d4b-300339219e54/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/24,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
38,aic_38.jpg,"Portrait of Jacques Nicolas Colbert, Archbishop of Rouen",Pierre Drevet,1699.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/8cb1f867-9b6e-c065-f9fd-27273212c050/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/38,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
46,aic_46.jpg,"Portrait Bust of a Woman with a Large Collar, from Perfect School to Learn How to Draw the Entire Human Body (English translation)",Luca Ciamberlano,1580.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/7e00ffbc-16a9-96b9-3da2-f38174cccb5f/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/46,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
58,aic_58.jpg,"Portrait of a Sixty-year-old Woman, from Recueil d'estampes d'après les plus célèbres tableaux de la Galerie Royale de Dresde",Pieter Tanjé,1753.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/529f40db-cec2-b3a4-e955-432bb39372ba/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/58,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
62,aic_62.jpg,"Head of Executioner, from John Evelyn's Sculptura",Richard Houston,1755.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/8317e653-b0eb-3ba3-1886-3141db56f529/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/62,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['mezzotint', 'print', 'prints and drawing']",[],"['mezzotint', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
63,aic_63.jpg,Portrait of Don Emanuel Desvalls,Jacob Matthias Schmutzer,1753.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/328ad17c-2520-84f9-4525-63a6b29ee90e/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/63,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
66,aic_66.jpg,A Young Man Caressing the Young Hostess,Cornelis Pietersz. Bega,1640.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/ab1dfe48-14e8-b546-7e35-581c401db240/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/66,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
74,aic_74.jpg,Three Oriental Figures (Jacob and Laban?),Rembrandt van Rijn,1641.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/5a1ce126-9ffd-36d2-21f1-21c667c4241c/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/74,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing', 'paper']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing', 'ink', 'paper']",['Prints and Drawings'],unknown
75,aic_75.jpg,Portrait of Rembrandt,Georg Friedrich Schmidt,1771.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/f6358788-b2de-2185-07a6-04da4d152410/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/75,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
87,aic_87.jpg,"A warrior sits on a block and gestures; two figure are behind him, from Figurine series",Salvator Rosa,1656.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/86cecc57-ac83-ef3e-dd8f-7f24fce0effb/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/87,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
138,aic_138.jpg,Flower Girl in Holland,George Hitchcock,1887.0,aic,2,1,0,0.880,"https://www.artic.edu/iiif/2/e72305c9-1a1c-8a36-7450-582619366338/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/138,Potter Palmer Collection,Arts of the Americas,"['painting', 'american arts']",['Impressionism'],"['painting', 'oil paint (paint)', 'Impressionism', 'landscapes', 'organic material', 'american arts', 'countryside', 'women', 'flowers', 'Holland', 'Chicago']",['Arts of the Americas'],unknown
142,aic_142.jpg,Portrait of Philibert Orrey,François Bernard Lépicié,1737.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/14fc8342-1018-c621-82c3-f9ee60e6f81c/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/142,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
146,aic_146.jpg,Portrait of D. Hieronymous van Beverningk,Abraham Blooteling,1660.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/2db1f9d1-91da-d8be-5c39-9cda2cfa729d/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/146,Gift of Elizabeth Hammond Stickney,Prints and Drawings,"['mezzotint', 'print', 'prints and drawing']",[],"['mezzotint', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
153,aic_153.jpg,The Lost Pleiade,Randolph Rogers,1874.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/f9549068-ad7e-c9ce-6fed-5c7a429024fb/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/153,Gift of Mrs. E. S. Stickney,Arts of the Americas,"['sculpture', 'american arts']",[],"['sculpture', 'marble', 'mythology', 'metamorphic rock', 'rock', 'inorganic material', 'american arts', 'female figures', 'people', 'portraits']",['Arts of the Americas'],unknown
160,aic_160.jpg,Pyxis (Container for Personal Objects),Ancient Greek,-550.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/e0db998b-5586-aa1f-e2cd-913904656247/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/160,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['ceramics', 'vessel', 'ancient art']",['black-figure'],"['ceramics', 'terracotta', 'vessel', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown
