filename,title,artist,year,museum,license,price_text,auction_price_usd,permalink,value_score,tier
192770.jpg,Saint Bridget of Sweden Receiving the Rule of Her Order,Agostino d'Antonio di Duccio,1459,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/192770,0.551,2
194191.jpg,Clock watch with astronomical dial and sundial,Jan Jansen Bockeltz,ca. 1605–10,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/194191,0.539,2
200668.jpg,Sabine Houdon (1787–1836),Jean Antoine Houdon,1788,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/200668,0.593,2
204587.jpg,Emperor Antoninus Pius,Antico (Pier Jacopo Alari Bonacolsi),1519–24,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.3M,,https://www.metmuseum.org/art/collection/search/204587,0.660,2
205107.jpg,The Composer André-Ernest-Modeste Grétry (1741–1813),Jean-Baptiste Stouf,1804–8,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/205107,0.566,2
206965.jpg,Longcase astronomical regulator,Ferdinand Berthoud,ca. 1768–70,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/206965,0.598,2
206989.jpg,Commode à vantaux,David Roentgen,ca. 1775–79 with later alterations,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/206989,0.572,2
207157.jpg,Dwarf (one of a pair),Villeroy,ca. 1740–45,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/207157,0.539,2
237451.jpg,Dwarf (one of a pair),Villeroy,ca. 1740–45,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/237451,0.543,2
248466.jpg,Bronze statuette of a philosopher on a lamp stand,Unknown,late 1st century BCE,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/248466,0.621,2
310364.jpg,Vessel with mythological scene,Metropolitan Painter,600–800 CE,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/310364,0.609,2
317877.jpg,Processional Cross,Northern Highlands artist,14th–15th century,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/317877,0.526,2
435580.jpg,Christ Crowned with Thorns,Antonello da Messina (Antonello di Giovanni d'Antonio),,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/435580,0.582,2
435664.jpg,Portrait of a Young Man,Biagio d'Antonio,probably ca. 1470,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/435664,0.599,2
435711.jpg,An Egyptian Peasant Woman and Her Child,Léon Bonnat,1869–70,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/435711,0.630,2
435722.jpg,Portrait of a Man in Armor with Two Pages,Paris Bordon,,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/435722,0.523,2
435848.jpg,The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),1467,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/435848,0.573,2
435851.jpg,The Meditation on the Passion,Vittore Carpaccio,ca. 1490,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.2M,,https://www.metmuseum.org/art/collection/search/435851,0.636,2
435864.jpg,A Woman with a Dog,Giacomo Ceruti,1740s,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.3M,,https://www.metmuseum.org/art/collection/search/435864,0.669,2
435882.jpg,Still Life with Apples and a Pot of Primroses,Paul Cézanne,ca. 1890,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/435882,0.633,2
435896.jpg,Portrait of a Carthusian,Petrus Christus,1446,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/435896,0.600,2
435897.jpg,Head of Christ (Ecce Homo),Petrus Christus,ca. 1445,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/435897,0.565,2
435997.jpg,The Storm,Pierre-Auguste Cot,1880,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/435997,0.591,2
436102.jpg,Virgin and Child with Four Angels,Gerard David,ca. 1510–15,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/436102,0.522,2
436155.jpg,The Rehearsal of the Ballet Onstage,Edgar Degas,ca. 1874,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/436155,0.601,2
436336.jpg,The Pérussis Altarpiece,Nicolas Froment,1480,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/436336,0.601,2
436440.jpg,Cottage Children (The Wood Gatherers),Thomas Gainsborough,1787,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/436440,0.597,2
436492.jpg,Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.4M,,https://www.metmuseum.org/art/collection/search/436492,0.672,2
436522.jpg,A Benedictine Monk,Hugo van der Goes,,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/436522,0.574,2
436545.jpg,Manuel Osorio Manrique de Zuñiga (1784–1792),Goya (Francisco de Goya y Lucientes),1787–88,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.2M,,https://www.metmuseum.org/art/collection/search/436545,0.646,2
436657.jpg,"Benedikt von Hertenstein (born about 1495, died 1522)",Hans Holbein the Younger,1517,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.3M,,https://www.metmuseum.org/art/collection/search/436657,0.668,2
436658.jpg,Hermann von Wedigh III (died 1560),Hans Holbein the Younger,1532,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/436658,0.533,2
436785.jpg,Honfleur,Johan Barthold Jongkind,1865,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/436785,0.539,2
436801.jpg,The Marriage Feast at Cana,Juan de Flandes,ca. 1497,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.4M,,https://www.metmuseum.org/art/collection/search/436801,0.673,2
436836.jpg,Allegory of Music,Laurent de La Hyre,1649,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/436836,0.540,2
436884.jpg,The Chess Players,Liberale da Verona,ca. 1475,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/436884,0.632,2
436885.jpg,Scene from a Novella,Liberale da Verona,,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/436885,0.563,2
436896.jpg,Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi,ca. 1440,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/436896,0.614,2
436965.jpg,The Monet Family in Their Garden at Argenteuil,Edouard Manet,1874,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.4M,,https://www.metmuseum.org/art/collection/search/436965,0.676,2
437021.jpg,Head of Christ,Master of the Orcagnesque Misericordia,,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/437021,0.567,2
437030.jpg,Young Man Holding a Book,Master of the View of Saint Gudula,ca. 1480,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/437030,0.585,2
437061.jpg,Salvator Mundi,Hans Memling,1480–85,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/437061,0.599,2
437090.jpg,"Charles I (1600–1649), King of England",Daniël Mijtens,1629,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/437090,0.543,2
437173.jpg,Don Andrés de Andrade y la Cal,Bartolomé Estebán Murillo,ca. 1665–72,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/437173,0.530,2
437261.jpg,The Penitence of Saint Jerome,Joachim Patinir,ca. 1515,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.4M,,https://www.metmuseum.org/art/collection/search/437261,0.678,2
437340.jpg,"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",Pierre Paul Prud'hon,1817,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/437340,0.538,2
437368.jpg,Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),ca. 1490,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/437368,0.614,2
437422.jpg,Charity,Guido Reni,ca. 1630,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.3M,,https://www.metmuseum.org/art/collection/search/437422,0.657,2
437457.jpg,The Baptism of Christ,Sebastiano Ricci,ca. 1713–14,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.4M,,https://www.metmuseum.org/art/collection/search/437457,0.679,2
437466.jpg,"Christ Blessing, Surrounded by a Donor Family",German Painter,ca. 1573–82,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/437466,0.560,2
437497.jpg,The Flagellation; (reverse) The Madonna of Mercy,Girolamo Romanino,ca. 1540,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/437497,0.529,2
437609.jpg,The Holy Family with the Young Saint John the Baptist,Andrea del Sarto (Andrea d'Agnolo),ca. 1528,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/437609,0.623,2
437851.jpg,Portrait of a Young Man,Cosmè Tura (Cosimo di Domenico di Bonaventura),1470s,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.2M,,https://www.metmuseum.org/art/collection/search/437851,0.634,2
