filename,title,artist,year,museum,license,price_text,auction_price_usd,permalink
192770.jpg,Saint Bridget of Sweden Receiving the Rule of Her Order,Agostino d'Antonio di Duccio,1459,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/192770
200668.jpg,Sabine Houdon (1787–1836),Jean Antoine Houdon,1788,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/200668
204587.jpg,Emperor Antoninus Pius,Antico (Pier Jacopo Alari Bonacolsi),1519–24,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/204587
205107.jpg,The Composer André-Ernest-Modeste Grétry (1741–1813),Jean-Baptiste Stouf,1804–8,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/205107
207157.jpg,Dwarf (one of a pair),Villeroy,ca. 1740–45,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/207157
237451.jpg,Dwarf (one of a pair),Villeroy,ca. 1740–45,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/237451
248466.jpg,Bronze statuette of a philosopher on a lamp stand,Unknown,late 1st century BCE,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/248466
317877.jpg,Processional Cross,Northern Highlands artist,14th–15th century,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/317877
435580.jpg,Christ Crowned with Thorns,Antonello da Messina (Antonello di Giovanni d'Antonio),,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435580
435664.jpg,Portrait of a Young Man,Biagio d'Antonio,probably ca. 1470,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435664
435711.jpg,An Egyptian Peasant Woman and Her Child,Léon Bonnat,1869–70,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435711
435722.jpg,Portrait of a Man in Armor with Two Pages,Paris Bordon,,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435722
435848.jpg,The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),1467,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435848
435851.jpg,The Meditation on the Passion,Vittore Carpaccio,ca. 1490,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435851
435864.jpg,A Woman with a Dog,Giacomo Ceruti,1740s,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435864
435896.jpg,Portrait of a Carthusian,Petrus Christus,1446,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435896
435897.jpg,Head of Christ (Ecce Homo),Petrus Christus,ca. 1445,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435897
435997.jpg,The Storm,Pierre-Auguste Cot,1880,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/435997
436102.jpg,Virgin and Child with Four Angels,Gerard David,ca. 1510–15,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436102
436155.jpg,The Rehearsal of the Ballet Onstage,Edgar Degas,ca. 1874,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436155
436336.jpg,The Pérussis Altarpiece,Nicolas Froment,1480,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436336
436440.jpg,Cottage Children (The Wood Gatherers),Thomas Gainsborough,1787,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436440
436492.jpg,Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436492
436522.jpg,A Benedictine Monk,Hugo van der Goes,,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436522
436545.jpg,Manuel Osorio Manrique de Zuñiga (1784–1792),Goya (Francisco de Goya y Lucientes),1787–88,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436545
436657.jpg,"Benedikt von Hertenstein (born about 1495, died 1522)",Hans Holbein the Younger,1517,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436657
436658.jpg,Hermann von Wedigh III (died 1560),Hans Holbein the Younger,1532,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436658
436801.jpg,The Marriage Feast at Cana,Juan de Flandes,ca. 1497,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436801
436836.jpg,Allegory of Music,Laurent de La Hyre,1649,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436836
436884.jpg,The Chess Players,Liberale da Verona,ca. 1475,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436884
436885.jpg,Scene from a Novella,Liberale da Verona,,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436885
436896.jpg,Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi,ca. 1440,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436896
436965.jpg,The Monet Family in Their Garden at Argenteuil,Edouard Manet,1874,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/436965
437021.jpg,Head of Christ,Master of the Orcagnesque Misericordia,,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437021
437030.jpg,Young Man Holding a Book,Master of the View of Saint Gudula,ca. 1480,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437030
437061.jpg,Salvator Mundi,Hans Memling,1480–85,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437061
437090.jpg,"Charles I (1600–1649), King of England",Daniël Mijtens,1629,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437090
437173.jpg,Don Andrés de Andrade y la Cal,Bartolomé Estebán Murillo,ca. 1665–72,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437173
437261.jpg,The Penitence of Saint Jerome,Joachim Patinir,ca. 1515,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437261
437340.jpg,"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",Pierre Paul Prud'hon,1817,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437340
437368.jpg,Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),ca. 1490,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437368
437422.jpg,Charity,Guido Reni,ca. 1630,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437422
437457.jpg,The Baptism of Christ,Sebastiano Ricci,ca. 1713–14,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437457
437466.jpg,"Christ Blessing, Surrounded by a Donor Family",German Painter,ca. 1573–82,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437466
437497.jpg,The Flagellation; (reverse) The Madonna of Mercy,Girolamo Romanino,ca. 1540,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437497
437609.jpg,The Holy Family with the Young Saint John the Baptist,Andrea del Sarto (Andrea d'Agnolo),ca. 1528,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437609
437851.jpg,Portrait of a Young Man,Cosmè Tura (Cosimo di Domenico di Bonaventura),1470s,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437851
437868.jpg,"Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",Juan Bautista Martínez del Mazo,ca. 1636 or later,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/437868
438688.jpg,Saint Francis,Federico Barocci,ca. 1600–1604,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/438688
438779.jpg,A Peasant Family,Antoine Le Nain,ca. 1640–48,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/438779
438817.jpg,The Dance Class,Edgar Degas,1874,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/438817
438821.jpg,Ia Orana Maria (Hail Mary),Paul Gauguin,1891,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/438821
446561.jpg,"""Alexander is Lowered into the Sea"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/446561
459027.jpg,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",Jacometto (Jacometto Veneziano),ca. 1485–95,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/459027
