filename,museum,title,artist,year,price_text,license,auction_price_usd,permalink,id,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories
Clausen_BrownEyes.jpg,local,Brown Eyes,George Clausen,1886,"¥1,100,000",,,,,,,,,,,,,,,,
Clausen_LadyWithDove.jpg,local,Lady with Dove,George Clausen,1889,"¥900,000",,,,,,,,,,,,,,,,
Feuerbach_Nanna.jpg,local,Nanna,Anselm Feuerbach,1861,"¥1,900,000",,,,,,,,,,,,,,,,
Feuerbach_Venezianerin.jpg,local,Die Venezianerin,Anselm Feuerbach,1866,"¥1,500,000",,,,,,,,,,,,,,,,
Frampton_YoungWoman.jpg,local,A Young Woman,George Frampton (attrib.),1890,"¥800,000",,,,,,,,,,,,,,,,
Hughes_Elaine_Launcelot.jpg,local,Elaine and Lancelot,Arthur Hughes,1861,"¥1,700,000",,,,,,,,,,,,,,,,
Ingres_Moitessier_Seated.jpg,local,Madame Moitessier (Seated),Jean-Auguste-Dominique Ingres,1856,"¥4,500,000",,,,,,,,,,,,,,,,
Ingres_Moitessier_Standing.jpg,local,Madame Moitessier (Standing),Jean-Auguste-Dominique Ingres,1851,"¥4,200,000",,,,,,,,,,,,,,,,
Reynolds_LadyBampfylde.jpg,local,Lady Bampfylde,Joshua Reynolds,1776,"¥2,000,000",,,,,,,,,,,,,,,,
Rossetti_BeataBeatrix.jpg,local,Beata Beatrix,Dante Gabriel Rossetti,1870,"¥3,200,000",,,,,,,,,,,,,,,,
Rossetti_Proserpine.jpg,local,Proserpine,Dante Gabriel Rossetti,1874,"¥3,100,000",,,,,,,,,,,,,,,,
The Singer.jpg,local,The Singer,William-Adolphe Bouguereau (attrib.),1884,"¥900,000",,,,,,,,,,,,,,,,
Tissot_Summer.jpg,local,Summer (La Femme à l’ombrelle),James Tissot,1876,"¥2,600,000",,,,,,,,,,,,,,,,
VigeeLeBrun_Hamilton_Sibyl.jpg,local,Emma Hamilton as a Sibyl,Élisabeth Vigée Le Brun,1791,"¥2,300,000",,,,,,,,,,,,,,,,
VigeeLeBrun_Skavronskaia.jpg,local,Portrait of Countess Skavronskaia,Élisabeth Vigée Le Brun,1796,"¥1,600,000",,,,,,,,,,,,,,,,
Wells_Gretchen.jpg,local,Gretchen,Henry Tanworth Wells,1878,"¥600,000",,,,,,,,,,,,,,,,
192770.jpg,"Metropolitan Museum of Art, New York",Saint Bridget of Sweden Receiving the Rule of Her Order,Agostino d'Antonio di Duccio,1459,,CC0,,https://www.metmuseum.org/art/collection/search/192770,,,,,,,,,,,,,
194191.jpg,"Metropolitan Museum of Art, New York",Clock watch with astronomical dial and sundial,Jan Jansen Bockeltz,ca. 1605–10,,CC0,,https://www.metmuseum.org/art/collection/search/194191,,,,,,,,,,,,,
200668.jpg,"Metropolitan Museum of Art, New York",Sabine Houdon (1787–1836),Jean Antoine Houdon,1788,,CC0,,https://www.metmuseum.org/art/collection/search/200668,,,,,,,,,,,,,
204587.jpg,"Metropolitan Museum of Art, New York",Emperor Antoninus Pius,Antico (Pier Jacopo Alari Bonacolsi),1519–24,,CC0,,https://www.metmuseum.org/art/collection/search/204587,,,,,,,,,,,,,
205107.jpg,"Metropolitan Museum of Art, New York",The Composer André-Ernest-Modeste Grétry (1741–1813),Jean-Baptiste Stouf,1804–8,,CC0,,https://www.metmuseum.org/art/collection/search/205107,,,,,,,,,,,,,
206965.jpg,"Metropolitan Museum of Art, New York",Longcase astronomical regulator,Ferdinand Berthoud,ca. 1768–70,,CC0,,https://www.metmuseum.org/art/collection/search/206965,,,,,,,,,,,,,
206989.jpg,"Metropolitan Museum of Art, New York",Commode à vantaux,David Roentgen,ca. 1775–79 with later alterations,,CC0,,https://www.metmuseum.org/art/collection/search/206989,,,,,,,,,,,,,
207157.jpg,"Metropolitan Museum of Art, New York",Dwarf (one of a pair),Villeroy,ca. 1740–45,,CC0,,https://www.metmuseum.org/art/collection/search/207157,,,,,,,,,,,,,
237451.jpg,"Metropolitan Museum of Art, New York",Dwarf (one of a pair),Villeroy,ca. 1740–45,,CC0,,https://www.metmuseum.org/art/collection/search/237451,,,,,,,,,,,,,
248466.jpg,"Metropolitan Museum of Art, New York",Bronze statuette of a philosopher on a lamp stand,Unknown,late 1st century BCE,,CC0,,https://www.metmuseum.org/art/collection/search/248466,,,,,,,,,,,,,
